Available Now	Nyní k dispozici
FA Depreciation Book	Kniha odpisù DM
FA Allocation	Rozdìlení DM
Maintenance Registration	Evidence údržby
FA Register	Žurnál DM
FA Journal Template	Šablona deníku DM
FA Journal Batch	List deníku DM
FA Journal Line	Øádek deníku DM
FA Reclass. Journal Template	Šablona deníku pøeøazení DM
FA Reclass. Journal Batch	List deníku pøeøazení DM
FA Reclass. Journal Line	Øádek deníku pøeøazení DM
Maintenance Ledger Entry	Položka údržby
Maintenance	Údržba
Insurance	Pojištìní
Ins. Coverage Ledger Entry	Položka pojistného krytí
Insurance Type	Typ pojištìní
Insurance Journal Template	Šablona deníku pojištìní
Insurance Journal Batch	List deníku pojištìní
Insurance Journal Line	Øádek deníku pojištìní
Insurance Register	Žurnál pojištìní
FA G/L Posting Buffer	Zásobník úètování DM
Main Asset Component	Komponenta hlavního DM
FA Buffer Projection	Zásobník pøemìny DM
Depreciation Table Header	Hlavièka tabulky odpisù
Depreciation Table Line	Øádek tabulky odpisù
FA Posting Type	Typ úètování DM
FA Date Type	Typ data DM
Depreciation Table Buffer	Zásobník tabulky odpisù
FA Matrix Posting Type	Matice typu úètování DM
FA Posting Group Buffer	Zásobník úèto skupiny DM
Total Value Insured	Celková pojištìná èástka
Stockkeeping Unit	Skladová jednotka
Stockkeeping Unit Comment Line	Øádek pozn.skladové jednotky
Responsibility Center	Centrum odpovìdnosti
Item Substitution	Náhrada zboží
Substitution Condition	Podmínka náhrady
Item Cross Reference	Køížový odkaz zboží
Nonstock Item	Neskladované zboží
Nonstock Item Setup	Nastavení nesklad. zboží
Manufacturer	Výrobce
Purchasing	Nakupování
Item Category	Kategorie zboží
Product Group	Skupina zboží
Transfer Header	Hlavièka transferu
Transfer Line	Øádek transferu
Transfer Route	Trasa transferu
Transfer Shipment Header	Hlavièka dodávky transferu
Transfer Shipment Line	Øádek dodávky transferu
Transfer Receipt Header	Hlavièka pøíjemky transferu
Transfer Receipt Line	Øádek pøíjemky transferu
Inventory Comment Line	Øádek poznámky zásob
Warehouse Request	Požadavek skladu
Warehouse Activity Header	Hlavièka aktivity skladu
Warehouse Activity Line	Øádek aktivity skladu
Whse. Cross-Dock Opportunity	Možnost pøeložení ve skladì
Warehouse Setup	Nastavení skladu
Warehouse Comment Line	Øádek poznámky skladu
Warehouse Source Filter	Filtr pùvodu skladu
Registered Whse. Activity Hdr.	Hl.zapsané aktivity skladu
Registered Whse. Activity Line	Øádek zapsané aktivity skladu
Shipping Agent Services	Služby pøepravce
Item Charge	Poplatek za zboží
Value Entry	Položka ocenìní
Item Journal Buffer	Zásobník deníku zboží
Avg. Cost Adjmt. Entry Point	Místo zadání úpravy prùmìrné ceny
Item Charge Assignment (Purch)	Pøiøazení popl. za zboží (nákup)
Item Charge Assignment (Sales)	Pøiøazení popl. za zboží (prodej)
Rounding Residual Buffer	Zásobník zaokrouhlení zbytku
Post Value Entry to G/L	Položka ocenìní k zaúètování
Inventory Posting Setup	Nastavení úètování zásob
Inventory Period	Období zásob
Inventory Period Entry	Položka období zásob
Cost Element Buffer	Zásobník nákladové složky
Item Statistics Buffer	Zásobník statistiky zboží
Invt. Post to G/L Test Buffer	Zásobník testu zaúètování zásob
G/L - Item Ledger Relation	Vazba vìcná pol. - pol. zboží
Availability Calc. Overview	Pøehled výpoètu dostupnosti
Capacity Ledger Entry	Položka kapacity
Standard Cost Worksheet Name	Název sešitu pevné poø.ceny
Standard Cost Worksheet	Sešit pevné ceny
Inventory Report Header	Záhlaví sestavy zásob
Inventory Report Entry	Položka sestavy zásob
Average Cost Calc. Overview	Pøehled výpoètu prùmìrné poøizovací ceny
Cost Share Buffer	Zásobník podílu nákladù
BOM Buffer	Zásobník kusovníku
Memoized Result	Uložený výsledek
Item Availability by Date	Dostupnost zboží dle data
BOM Warning Log	Protokol upozornìní- kusovník
Error Buffer	Zásobník chyb
Inventory Adjustment Buffer	Zásobník adjustace zboží
Inventory Adjmt. Entry (Order)	Položka adj. zboží (objednávka)
Service Header	Hlavièka servisu
Service Item Line	Øádek pøedmìtu servisu
Service Line	Øádek servisu
Service Order Type	Typ servisní zakázky
Service Item Group	Skupina pøedmìtù servisu
Service Cost	Servisní náklady
Service Comment Line	Øádek poznámky servisu
Service Ledger Entry	Položka servisu
Warranty Ledger Entry	Položka záruky
Service Shipment Buffer	Zásobník dodávky servisu
Service Hour	Servisní hodina
Service Mgt. Setup	Nastavení správce servisu
Service Document Log	Protokol servisních dokladù
Loaner	Zápùjèka
Loaner Entry	Položka zápùjèky
Fault Area	Oblast poruchy
Symptom Code	Kód pøíznaku
Fault Reason Code	Kód dùvodu poruchy
Fault Code	Kód poruchy
Resolution Code	Kód vyøešení
Fault/Resol. Codes Rlship.	Vztah kódù poruchy/vyøešení
Fault Area/Symptom Code	Oblast poruchy/Kód poruchy
Repair Status	Stav opravy
Service Status Priority Setup	Nast.priority stavu servisu
Service Shelf	Servisní regál
Service Order Posting Buffer	Zásobník úètování serv.zakázky
Service Register	Žurnál servisu
Service E-Mail Queue	Fronta e-mailù servisu
Service Document Register	Žurnál servisních dokladù
Service Item	Pøedmìt servisu
Service Item Component	Komponenta pøedmìtu servisu
Service Item Log	Protokol pøedmìtu servisu
Troubleshooting Header	Hlavièka poradce pøi potížích
Troubleshooting Line	Øádek poradce pøi potížích
Troubleshooting Setup	Nastavení poradce pøi potížích
Service Order Allocation	Pøidìlení servisní zakázky
Resource Location	Lokace zdroje
Work-Hour Template	Šablona pracovní doby
Skill Code	Kód odbornosti
Resource Skill	Odbornost zdroje
Service Zone	Zóna servisu
Resource Service Zone	Zóna servisu zdroje
Service Contract Line	Øádek servisní smlouvy
Service Contract Header	Servisní smlouva
Contract Group	Skupina smluv
Contract Change Log	Protokol zmìny smlouvy
Service Contract Template	Šablona servisní smlouvy
Contract Gain/Loss Entry	Položka zisku/ztráty smlouvy
Filed Service Contract Header	Archivovaná servisní smlouva
Filed Contract Line	Øádek archivované smlouvy
Contract/Service Discount	Sleva smlouva/servis
Service Contract Account Group	Skupina úètù servisní smlouvy
Service Shipment Item Line	Øádek pøedmìtu dodávky servisu
Service Shipment Header	Hlavièka dodávky servisu
Service Shipment Line	Øádek dodávky servisu
Service Invoice Header	Hlavièka faktury servisu
Service Invoice Line	Øádek fakturace servisu
Service Cr.Memo Header	Hlavièka dobropisu servisu
Service Cr.Memo Line	Øádek dobropisu servisu
Standard Service Code	Kód standardního servisu
Standard Service Line	Øádek standardního servisu
Standard Service Item Gr. Code	Kód standardní skupiny pøedmìtù servisu
Service Price Group	Cenová skupina servisu
Serv. Price Group Setup	Nastavení cenové sk.servisu
Service Price Adjustment Group	Skupina úpravy ceny servisu
Serv. Price Adjustment Detail	Detail úpravy ceny servisu
Service Line Price Adjmt.	Úprava ceny øádku servisu
Item Tracking Code	Kód sledování zboží
Serial No. Information	Informace o sér.èísle
Lot No. Information	Informace o èísle šarže
Item Tracking Comment	Poznámka sledování zboží
Item Entry Relation	Relace položky zboží
Value Entry Relation	Relace položky ocenìní
Whse. Item Entry Relation	Relace skladové položky zboží
Item Tracing Buffer	Zásobník trasování zboží
Item Tracing History Buffer	Zásobník historie trasování zboží
Record Buffer	Zásobník záznamù
Whse. Item Tracking Line	Øádek sledování zboží skladu
Return Reason	Pøíèina vratky
Return Shipment Header	Hlavièka dodávky vratky
Return Shipment Line	Øádek dodávky vratky
Return Receipt Header	Hlavièka pøíjmu vratky
Return Receipt Line	Øádek pøíjmu vratky
Returns-Related Document	Doklad spojený s vratkou
Sales Price	Prodejní cena
Sales Line Discount	Prodejní øádková sleva
Purchase Price	Nákupní cena
Purchase Line Discount	Sleva nákupního øádku
Sales Price Worksheet	Sešit prodejní ceny
Campaign Target Group	Cílová skupina kampanì
Analysis Field Value	Hodnota pole analýzy
Analysis Report Name	Název sestavy analýzy
Analysis Line Template	Šablona øádkù analýzy
Analysis Type	Typ analýzy
Analysis Line	Øádek analýzy
Analysis Column Template	Šablona sloupcù analýzy
Analysis Column	Sloupec analýzy
Item Budget Name	Název rozpoètu zboží
Item Budget Entry	Položka rozpoètu zboží
Item Budget Buffer	Zásobník rozpoètu zboží
Item Analysis View	Pohled analýzy zboží
Item Analysis View Filter	Filtr pohledu analýzy zboží
Item Analysis View Entry	Položka pohledu analýzy zboží
Item Analysis View Budg. Entry	Položka rozpoètu pohledu analýzy zboží
Analysis Dim. Selection Buffer	Zásobník výbìru dimenze pro analýzu
Analysis Selected Dimension	Analýza - vybraná dimenze
Sales Shipment Buffer	Zásobník prodejních dodávek
Zone	Zóna
Warehouse Employee	Zamìstnanec skladu
Bin Content	Obsah pøihrádky
Bin Type	Typ pøihrádky
Warehouse Class	Tøída skladu
Special Equipment	Speciální vybavení
Put-away Template Header	Hlavièka šablony zaskladnìní
Put-away Template Line	Øádek šablony zaskladnìní
Warehouse Journal Template	Šablona deníku skladu
Warehouse Journal Batch	List deníku skladu
Warehouse Journal Line	Øádek deníku skladu
Warehouse Entry	Položka skladu
Warehouse Register	Žurnál skladu
Warehouse Receipt Header	Hlavièka pøíjmu na sklad
Warehouse Receipt Line	Øádek pøíjmu na sklad
Posted Whse. Receipt Header	Úètovaná hlav.pøíjmu na sklad
Posted Whse. Receipt Line	Øádek úèto.pøíjmu na sklad
Warehouse Shipment Header	Hlavièka dodávky ze skladu
Warehouse Shipment Line	Øádek dodávky ze skladu
Posted Whse. Shipment Header	Úètovaná hlav.dod.ze skladu
Posted Whse. Shipment Line	Øádek úèto.dodávky ze skladu
Whse. Put-away Request	Požadavek zaskladnìní
Whse. Pick Request	Požadavek vyskladnìní
Whse. Worksheet Line	Øádek sešitu skladu
Whse. Worksheet Name	Název sešitu skladu
Whse. Worksheet Template	Šablona sešitu skladu
Bin Content Buffer	Zásobník obsahu pøihrádky
Whse. Internal Put-away Header	Hlavièka interního zaskladnìní
Whse. Internal Put-away Line	Øádek interního zaskladnìní
Whse. Internal Pick Header	Hlavièka interního vyskladnìní
Whse. Internal Pick Line	Øádek interního vyskladnìní
Bin Template	Šablona pøihrádky
Bin Creation Wksh. Template	Šabl.seš.vytvoøení pøihrádky
Bin Creation Wksh. Name	Název seš.vytvoøení pøihrádky
Bin Creation Worksheet Line	Øádek seš.vytvoøení pøihrádky
Posted Invt. Put-away Header	Úètovaná hlavièka zaskl.zásob
Posted Invt. Put-away Line	Úètovaný øádek zaskl.zásob
Posted Invt. Pick Header	Úètovaná hlavièka vyskl.zásob
Posted Invt. Pick Line	Úètovaný øádek vyskl.zásob
Registered Invt. Movement Hdr.	Hlavièka zapsaného sklad.pohybu
Registered Invt. Movement Line	Øádek zapsaného skladového pohybu
Internal Movement Header	Hlavièka interního pøesunu
Internal Movement Line	Øádek interního pøesunu
Lot Numbers by Bin Buffer	Zásobník èísel šarže dle pøíhrádek
Bin	Pøihrádka
Reservation Entry Buffer	Zásobník položek rezervace
Phys. Invt. Item Selection	Výbìr zboží fyz.inventury
Phys. Invt. Counting Period	Období fyzické inventury
Base Calendar	Základní kalendáø
Base Calendar Change	Zmìna základního kalendáøe
Customized Calendar Change	Zmìna upraveného kalendáøe
Customized Calendar Entry	Položka upraveného kalendáøe
Where Used Base Calendar	Použití základního kalendáøe
Miniform Header	Hlavièka miniformuláøe
Miniform Line	Øádek miniformuláøe
Miniform Function Group	Skupina funkcí miniformuláøe
Miniform Function	Funkce miniformuláøe
Item Identifier	Identifikátor zboží
ADCS User	ADCS uživatel
Dimensions Field Map	Mapa polí dimenzí
Config. Questionnaire	Dotazník nastavení
Config. Question Area	Oblast otázek
Config. Question	Otázka konfigurace
Config. Package Table	Tabulka konfiguraèního balíèku
Config. Package Record	Záznam konfiguraèního balíèku
Config. Package Data	Pøehled migrace - rozšíøený
Config. Package Field	Pole konfiguraèního balíèku
Config. Package Error	Chyba balíèku konfigurace
Config. Template Header	Hlavièka šablony dat
Config. Template Line	Øádek šablony dat
Config. Selection	Výbìr konfigurace
Config. Line	Øádek konfigurace
Config. Package	Konfiguraèní balíèek
Config. Related Field	Konfigurace souvisejících polí
Config. Related Table	Konfigurace souvisejích tabulek
Config. Package Filter	Filtr konfiguraèního balíèku
Config. Setup	Nastavení konfigurace
Warehouse Basic Cue	Základní hromádka skladu
Warehouse WMS Cue	Hromádka skladu systému správce skladu
Service Cue	Servisní hromádka
Sales Cue	Prodejní hromádka
Finance Cue	Finanèní hromádka
Purchase Cue	Nákupní hromádka
Manufacturing Cue	Hromádka výroby
Job Cue	Hromádka projektù
Warehouse Worker WMS Cue	Hromádka pracovníkù skladu systému správce skladu
Administration Cue	Hromádka správy
SB Owner Cue	Hromádka majitelù malých firem
RapidStart Services Cue	Hromádka RapidStart
My Customer	Mùj zákazník
My Vendor	Mùj dodavatel
My Item	Mé zboží
Generic Chart Setup	Nastavení grafu
Generic Chart Filter	Filtr grafu
Generic Chart Y-Axis	Osa-Y grafu
Generic Chart Query Column	Sloupec dotazu grafu
Generic Chart Captions Buffer	Zásobník titulkù grafu
Generic Chart Memo Buffer	Zásobník poznámek grafu
XML Schema	XML schéma
XML Schema Element	XML Schema Element
XML Schema Restriction	Omezení XML schématu
Table Filter	Filtr tabulky
Banking Setup	Nastavení bankovního styku
Constant Symbol	Konstantní symbol
Payment Title	Platební titul
Applying Template	Šablona párování
Bank Statement Header	Hlavièka bankovního výpisu
Bank Statement Line	Øádek bankovního výpisu
Issued Bank Statement Header	Hlavièka vydaného bank. výpisu
Issued Bank Statement Line	Øádek vydaného bank. výpisu
Payment Order Header	Hlavièka platebního pøíkazu
Payment Order Line	Øádek platebního pøíkazu
Issued Payment Order Header	Hlavièka vydaného plateb.pøík.
Issued Payment Order Line	Øádek vydaného plateb. pøíkazu
Cash Document Header	Hlavièka pokladního dokladu
Cash Document Line	Øádek pokladního dokladu
Posted Cash Document Header	Hlavièka zaúètovaného pokladního dokladu
Posted Cash Document Line	Øádek zaúètovaného pokladního dokladu
Cash Desk User	Uživatel pokladny
Cash Desk Event	Pokladní pøípad
Currency Nominal Value	Nominální hodnota mìny
Cash Desk Cue	Pokladní hromádka
Cash Desk Report Selections	Výbìry sestav pokladny
Uncertainty Payer Entry	Položka nespolehlivosti plátce
Electronically Govern. Setup	Nastavení elektronické komunikace
Registration Country/Region	Zemì/oblasti registrace
Registr. Country/Region Route	Smìry zemì/oblasti registrace 
Curr.Ex.Rate Country/Reg. Fill	Smìnný kurs zemì/oblasti plnìní
Excel Template	Šablona aplikace Excel
Statement File Mapping	Mapování výkazù na šablonu
VAT Identifier	Identifikátor DPH
VAT Identifier Translate	Pøeklad identifikátoru DPH
TMP VAT Tariff No. Buffer	TMP Zásobník DPH èíslo sazebníku 
G/L Account Adjustment Buffer	Doèasná pro vyrov.spoj.úètu
Bank Acc. Adjustment Buffer	Doèasná pro vyrov.bank.úètu
VAT Statement Comment Line	Øádek poznámky výkazu DPH
VAT Statement Attachment	Pøíloha výkazu DPH
Enhanced Currency Buffer	Rozšíøený zásobník mìny celkem
Multiple Interest Calc. Line	Více øádkù výpoètu úrokù
Detailed G/L Entry	Detailní vìcná položka
VAT Attribute Code	Kód atributu DPH
VAT Period	Období DPH
Subst. Customer Posting Group	Náhr. úèto skupina zákazníka
Subst. Vendor Posting Group	Náhr. úèto skupina dodavatele
Multiple Interest Rate	Vícenásobná úroková sazba
Non Deductible VAT Setup	Nastavení neodèitatelné DPH
Posting Description	Text položky
Posting Desc. Parameter	Parametr textu položky
Detailed Fin. Charge Memo Line	Detailní øádek penále
Detailed Iss.Fin.Ch. Memo Line	Detailní øádek vydaného penále
Detailed Reminder Line	Detailní øádek upomínky
Detailed Issued Reminder Line	Detailní øádek vydané upomínky
Industry Code	Kód odvìtví
Company Officials	Zástupci spoleènosti
Vendor Template	Šablona dodavatele
User Setup Line	Øádek nastavení uživatelù
XML Export Buffer	Zásobník exportu XML
No. Series Link	Návaznost èíselných øad
Sales Advance Letter Header	Prodejní zálohová faktura
Sales Advance Letter Line	Øádek prodejní zálohové faktury
Sales Advance Letter Entry	Položka oznámení prod. zálohy
Sales Adv. Payment Template	Kniha prodejních záloh
Advance Link	Propojení zálohy
Advance Link Buffer	Zásobník propojení záloh
Purch. Advance Letter Header	Nákupní zálohová faktura
Purch. Advance Letter Line	Øádek nákupní zálohové faktury
Purch. Advance Letter Entry	Položka oznámení nák. zálohy
Advance Letter Line Relation	Vztah øádku zálohové faktury
VAT Amount Line Adv. Payment	Øádek èástky DPH - zálohy
Adv. Letter Linking Buffer	Zásobník pøiøazení øádkù záloh
Adv. Letter Line Rel. Buffer	Vztah øádku zálohy
Purchase Adv. Payment Template	Kniha nákupních záloh
Adv. Linking Buffer	Zásobník propojení záloh
Advance Report Selections	Výbìry sestav záloh
Classification Code	Kód klasifikace
Depreciation Group	Odpisová skupina
FA Extended Posting Group	Rozšíøená úèto skupina DM
SKP Code	Kód SKP
FA History Entry	Položka historie DM
Credits Setup	Nastavení zápoètù
Credit Report Selections	Výbìry sestav - zápoèty
Credit Header	Hlavièka zápoètu
Credit Line	Øádek zápoètu
Posted Credit Header	Hlavièka úètovaného zápoètu
Posted Credit Line	Øádek úèovaného zápoètu
VIES Transaction Buffer	Zásobník transakce VIES
Intrastat Currency Exch. Rate	Smìnný kurz Intrastat
Statistic Indication	Statistický údaj
Specific Movement	Specifický pohyb
Intrastat Delivery Group	Dodací skupina Intrastat
Stat. Reporting Setup	Nastavení stat. vykazování
VIES Declaration Header	Hlavièka Souhrnného hlášení
VIES Declaration Line	Øádek Souhrnného hlášení
Package Material	Obalový materiál
Item Package Material	Obalový materiál zboží
Stockkeeping Unit Template	Šablona skladové jednotky
Whse. Net Change Template	Šablona skladového pohybu
Reconcile Value Entry Buffer	Zásobník odsouhlasení položek ocenìní
Export Acc. Schedule	Export úèetního schéma
Acc. Schedule Filter Line	Øádek filtrù úèetního schéma
Acc. Schedule Result Line	Øádek výsledku úè. schématu
Acc. Schedule Result Column	Sloupec Výsledek úè. schématu
Acc. Sched. Expression Buffer	Zásobník výrazù úè. schématu
Acc. Schedule Dim. Filter	Filtr dimenzí úè. schématu
Acc. Schedule Result Header	Hlavièka výsledku úè. schématu
Acc. Schedule Result Value	Hodnota výsledku úè. schématu
Acc. Schedule Result History	Historie výsledku úè. schématu
Acc. Schedule Extension	Rozšíøení úè. schématu
Document Footer	Zápatí dokumentu
Report Parameter	Parametr reportu
Object Store Setup	Nastavení skladu objektù
Object Store Information	Informace skladu objektù
Object Store Version	Verze objektu skladu
Object Store History	Historie objektu skladu
Object Store Cue	Hromádka objektù skladu
Visible Fee	Viditelný poplatek
Excise	Spotøební daò
Excise Setup	Nastavení spotøební danì
Excise Ledger Entry	Položka spotøební danì
Excise Journal Template	Šablona deníku spotøební danì
Excise Journal Batch	List deníku spotøební danì
Excise Journal Line	Øádek deníku spotøební danì
Excise Closing Buffer	Buffer uzavøení spotøební danì
Excise Register	Žurnál spotøební danì
Insolvence Register Setup	Nastavení insolvenèního rejstøíku
Insolvence Register Action	Akce insolvenèního rejstøíku
Insolvence Register Event	Událost insolvenèního rejstøíku
Insolvence Register Case	Vìc insolvenèního rejstøíku
Insolvence Register Subject	Osoba insolvenèního rejstøíku
Insolvence Register Address	Adresa insolvenèního rejstøíku
Insolvence Reg. Process Status	Stav øízení insolvenèního rejstøíku
Insolvence Reg. Event Type	Typ události insolvenèního rejstøíku
Factoring Header	Hlavièka factoringu
Factoring Line	Øádek factoringu
Posted Factoring Header	Hlavièka úètovaného factoringu
Posted Factoring Line	Øádek úètovaného factoringu
Factoring Setup	Nastavení factoringu
Factoring Posting Buffer	Factoring Posting Buffer
Factoring Statistic Buffer TMP	Factoring Statistic Buffer TMP
More Payment Method Setup	Nastavení více zpùsobù platby
Payment Schedule Header	Hlavièka rozpisu platby
Payment Schedule Line	Øádek rozpisu platby
Fiscal Printer	Fiskální tiskárna
Payment Place	Platební místo
Fiscal Ledger Entry	Fiskální položka
Detailed Fiscal Ledg. Entry	Detailní fiskální položka
Fiscal Posting Buffer	Fiskální buffer úètování
Item Charge Journal Template	Šablona deníku poplatku zboží
Item Charge Journal Line	Øádek deníku poplatkù zboží
Item Charge Journal Assignment	Pøiøazení deníku popl. zboží
Packing Statement	Výkaz obalù
Packing Statement Element Def.	Definice prvku výkazu obalù
Packing Statement Element	Prvek výkazu obalù
Packing Statement Element Ass.	Pøiøazení prvku výkazu obalù
Packing Stat. El. Exception	Výjimka prvku výkazu obalù
Packing Statement Entry	Položka výkazu obalù
Return. Packing Setup	Nastavení vrat. obalù
Returnable Packing	Vratný obal
Return. Packing Ledger Entry	Položka vrat. obalu
Return. Packing App. Entry	Položka vyrovnání vrat. obalu
Return. Packing Register	Žurnál vrat. obalu
Return. Packing Category	Kategorie vrat. obalu
Return. Packing Comment Line	Øádek poznámky vrat. obalu
Return. Packing Journal Templ.	Šablona deníku vrat. obalu
Return. Packing Journal Batch	List deníku vrat. obalu
Return. Packing Journal Line	Øádek deníku vrat. obalu
Electronic Document Setup	Nastavení elektronických dokladù
Data Box Setup	Nastavení datových schránek
Mail Record Attachment	Pøíloha evidence pošty
Closed Mail Record Attachment	Pøíloha uzavøené evidence pošty
Data Box Owner Info	Vlastník datové schránky
Data Box Message	Zpráva datové schránky
Data Box Loged User	Datová schránka - pøihlášený uživatel
Mail Record Template	Šablona evidence pošty
Mail Record	Evidence pošty
Mail Record Line	Øádek evidence pošty
Mail Record Liquidation Line	Øádek likvidace evidence pošty
Mail Record Comment Line	Øádek poznámky evidence pošty
Closed Mail Record	Uzavøená evidence pošty
Closed Mail Record Line	Øádek uzavøené evidence pošty
Closed Mail Record Liq. Line	Øádek likvidace uzavøené evidence pošty
Closed Mail Record Comm. Line	Øádek poznámky uzavøené evidence pošty
General Parameter Template	Šablona obecných parametrù
Template Gen. Parameter	Obecný parametr šablony
General Parameter	Obecný parametr
General Parameter Value	Hodnota obecného parametru
Gen. Param. Card Assignment	Obecný parametr karty
Gen. Param. Selection Buffer	Zásobník výbìru parametrù
Selected Gen. Parameter	Vybraný obecný parametr
Gen. Param. Data Type Buffer	Zásobník dat.typù obecných parametrù
General Parameter Translation	Pøeklad obecného parametru
Gen. Param. Value Translation	Pøeklad hodnoty obec.parametru
GP Universal Form TMP	GP Universal Form TMP
GP Key Buffer	Zásobník klíèù
Document Publishing Setup	Nastavení publikování dokumentù
Document Library	Knihovna dokumentù
Document Placement	Uložení dokumentu
Published Document Entry	Položka publikovaného dokumentu
SharePoint Document	Dokument SharePoint
Document Parameter	Parametr dokumentu
Document Parameter Value	Hodnota parametru dokumentu
Library Document Parameter	Parametr knihovny dokumentu
Document Param. Assignment	Pøiøazení param. dokumentu
Published Document	Publikovaný dokument
Published Document Parameter	Parametr publ. dokumentu
Publ. Doc. MOSS Param. Buffer	Zásobník MOSS param. publ. dok.
Publ. Doc. Param. Sel. Buffer	Zásobník výbìru parametrù publ. dokumentu
Selected Publ. Doc. Parameter	Vybraný parametr publ. dokumentu
Publ.Doc.Param.Data Type Buff.	Zásobník dat.typù parametrù publ. dokumentu
Publ. Doc. Translate Table	Pøevod znakù pro publ. dokument
Publishing Object	Objekt pro publikaci
Publishing Template	Publikaèní šablona
Publishing Template User Check	Uživatelská kontrola šablon publikace
Publishing Template File Type	Typ souboru šablony publikace
Multiple Linking Table	Tabulka pro hromad. evidenci
Publishing Template Form	Formuláø publikaèní šablony
Document File Name Field	Pole názvu dokumentu
Document File Name Field Value	Hodnota pole názvu souboru
Default Document Field Value	Výchozí hodnota pole dokumentu
Publishing Template Output	Výstupy publ. šablony
Assignment Doc.Table Linking	Pøiøaz tab. hromadné evidence
Assign. Document Field Value	Pøiøaz. hodnota pole dokumentu
Default File Type	Výchozí typ souboru
Published Document List	Buffer pøehledu publ. dok.
Document Field Desc. Field	Pole popisu pole dokumentu
Publ. Doc. Entry Buffer	Buffer pol. publ. dokumentu
Buffer Imp Excel Table	Buffer Imp Excel Table
PD Universal Form TMP	PD Universal Form TMP
PD Key Buffer	Klíèe
Publ.Doc.Param Table - Link	Parametry publ. dokumentu - relace
Table Field Update Setup	Nastavení aktualizace pole tabulky
Published Task	Publikovaný úkol
Published Task Parameter	Parametr publ. úkolu
Published Task Comment Line	Øádek poznámky publ. úkolu
Published Task Entry	Položka publikovaného úkolu
Default Task Field Value	Výchozí hodnota pole úkolu
Task Field Desc. Field	Pole popisu pole úkolu
Transport Setup	Nastavení dopravy
Vehicle Type	Typ vozidla
Vehicle Equipment	Vybavení vozidla
Vehicle	Vozidlo
Assigned Vehicle Equipment	Pøiøazené vybavení vozidla
Transport Comment Line	Øádek poznámky dopravy
Maintenance Type	Typ údržby
Vehicle Maintenance Line	Øádek údržby vozidla
Maintenance Plan	Plán údržby
Maintenance Plan Criterion	Kritérium údržby
Vehicle Unit of Measure	Mìrná jednotka vozidla
Operation Type	Typ provozu
Vehicle Cost	Poøizovací cena vozidla
Vehicle Consumption	Spotøeba vozidla
Professional Qualification	Odborná zpùsobilost
Driver	Øidiè
Driver Qualification	Odborná zpùsobilost øidièe
Drive Ledger Entry	Položka knihy jízd
Drive Journal Template	Šablona knihy jízd
Drive Journal Batch	List knihy jízd
Drive Journal Line	Øádek knihy jízd
Drive Register	Žurnál jízd
Fuel Payment Card	Platební karta
Fuel Code	Kód PHM
Fuel Item Vendor	Zboží dodavatele PHM
Fuel Ledger Entry	Položka PHM
Fuel Journal Template	Šablona deníku PHM
Fuel Journal Batch	List deníku PHM
Fuel Journal Line	Øádek deníku PHM
Fuel Register	Žurnál PHM
Refuelling Statement Template	Šablona výpisu èerpání PHM
Refuelling Statement Header	Hlavièka výpisu èerpání PHM
Refuelling Statement Line	Øádek výpisu èerpání PHM
Issued Refuelling Stmt. Header	Hlavièka vyd.výpisu èerpání PHM
Issued Refuelling Stmt. Line	Øádek vydaného výpisu èerpání PHM
Transport Requisition Line	Øádek požadavkù na dopravu
Drive Order Header	Hlavièka pøíkazu k jízdì
Drive Order Line	Øádek pøíkazu k jízdì
Issued Drive Order Header	Hlavièka vyd.pøíkazu k jízdì
Issued Drive Order Line	Øádek vyd.pøíkazu k jízdì
Workflow Setup	Nastavení Workflow
Workflow Template	Šablona workflow
Workflow Status	Stav workflow
Action	Akce
Workflow Action	Akce workflow
Checked Workflow Field	Kontrolované pole workflow
Set Workflow Field	Nastavované pole workflow
Workflow User Check	Uživatelská kontrola workflow
Workflow Mail Part	Èást mailu workflow
Workflow Mail Parametrize	Parametrizace mailu workflow
Workflow Log Entry	Položka protokolu workflow
Workflow Condition	Podmínka workflow
Workflow Responsible Person	Odpovìdná osoba workflow
Workflow Monitored Field	Sledované pole workflow
Workflow Auto Action	Automatická akce workflow
Workflow Auto Checked Field	Auto. kontrolované pole workflow
Workflow Auto Set Field	Auto. nastavované pole workflow
Checked Workflow Table	Kontrolované tabulky workflow
Checked Workflow Table - Link	Kontrolované tabulky WF - relace
Event Template	Šablona události
Event Field Phase	Fáze pole
Event Date Filter	Filtr data
Event E-mail	E-mail
Event Entry	Položka události
Event Comment Line	Øádek poznámky události
Closed Event Entry	Uzavøená položka události
Closed Event Comment Line	Øádek poznámky uzavøené události
Event E-mail Part	Èást mailu události
Event E-mail Parametrize	Parametrizace mailu události
RADY	RADY
KARTY	KARTY
SARZE_SN	SARZE_SN
SKLADY	SKLADY
LOKACE	LOKACE
OBJEDNAVKY	OBJEDNAVKY
POHYBY	POHYBY
SKLADNICI	SKLADNICI
MSU Series	MSU Øada
MSU Entry	MSU Položka
MSU Setup	Nastavení MSU
MSU Warehouseman	MSU Skladník
Qty. on Location Buff.	Qty. on Location Buff.
Complaints Setup	Nastavení reklamací
Complaint Header	Hlavièka reklamace
Complaint Line	Øádek reklamace
Complaint Fulfilment Line	Øádek vyøízení reklamace
Complaint Reason	Dùvod reklamace
Complaint Cause	Pøíèina reklamace
